transaction_id,customer_id,product_id,price,timestamp
1,277,200,197.37,2025-05-18 09:11:16.365919
2,252,57,218.81,2025-07-26 15:54:16.365919
3,223,72,80.82,2025-08-18 17:26:16.365919
4,489,10,105.66,2025-05-22 18:15:16.365919
5,308,129,64.64,2025-06-09 20:47:16.365919
6,500,88,47.03,2025-08-03 03:59:16.365919
7,139,167,151.61,2025-07-21 15:24:16.365919
8,184,228,110.96,2025-05-29 16:28:16.365919
9,262,241,42.68,2025-07-16 21:49:16.365919
10,94,217,109.67,2025-08-30 10:12:16.365919
11,313,26,77.79,2025-05-09 06:05:16.365919
12,207,35,68.25,2025-08-24 17:54:16.365919
13,174,90,103.39,2025-05-24 23:33:16.365919
14,496,66,100.66,2025-07-26 19:42:16.365919
15,356,166,194.26,2025-09-01 17:42:16.365919
16,413,59,78.34,2025-06-17 10:37:16.365919
17,487,4,179.23,2025-07-30 23:41:16.365919
18,344,113,45.18,2025-05-12 23:55:16.365919
19,334,48,125.15,2025-08-25 03:30:16.365919
20,61,4,188.38,2025-08-11 15:30:16.365919
21,359,123,100.26,2025-08-03 03:53:16.365919
22,121,224,96.05,2025-08-18 23:02:16.365919
23,72,19,109.4,2025-09-03 00:59:16.365919
24,481,40,34.97,2025-07-27 15:49:16.365919
25,468,181,125.36,2025-05-21 06:50:16.365919
26,490,114,13.5,2025-07-24 22:35:16.365919
27,468,22,69.18,2025-08-15 08:41:16.365919
28,310,68,80.94,2025-06-09 20:05:16.365919
29,242,42,89.21,2025-07-24 19:00:16.365919
30,79,136,214.66,2025-08-10 20:51:16.365919
31,354,160,115.05,2025-07-02 02:39:16.365919
32,3,60,79.17,2025-05-14 15:12:16.365919
33,498,45,156.13,2025-08-10 10:50:16.365919
34,366,242,211.24,2025-05-10 20:40:16.365919
35,473,165,206.97,2025-08-21 12:49:16.365919
36,41,108,109.98,2025-06-03 23:08:16.365919
37,371,213,76.09,2025-07-24 10:18:16.365919
38,414,185,94.3,2025-06-18 20:10:16.365919
39,403,150,141.96,2025-05-25 21:25:16.365919
40,464,114,14.64,2025-05-25 01:39:16.365919
41,26,50,96.31,2025-08-09 03:24:16.365919
42,156,42,73.49,2025-08-24 07:25:16.365919
43,175,235,24.91,2025-05-31 15:55:16.365919
44,264,33,118.47,2025-07-29 08:32:16.365919
45,227,191,6.47,2025-08-24 23:20:16.365919
46,319,83,6.99,2025-07-28 21:48:16.365919
47,79,46,167.96,2025-06-30 17:41:16.365919
48,261,236,140.94,2025-08-13 23:14:16.365919
49,164,184,144.18,2025-06-06 08:47:16.365919
50,336,54,130.32,2025-07-27 00:58:16.365919
51,481,93,124.3,2025-05-30 21:21:16.365919
52,221,239,65.73,2025-08-07 11:16:16.365919
53,419,102,70.19,2025-07-15 18:21:16.365919
54,154,111,174.42,2025-06-19 20:09:16.365919
55,315,16,100.18,2025-08-19 06:09:16.365919
56,313,188,136.68,2025-07-17 18:23:16.365919
57,446,173,214.9,2025-08-14 01:18:16.365919
58,89,198,199.96,2025-07-18 21:40:16.365919
59,45,64,136.13,2025-06-22 16:00:16.365919
60,350,249,6.25,2025-06-20 00:02:16.365919
61,145,250,128.05,2025-05-27 06:41:16.365919
62,69,215,19.56,2025-05-23 02:18:16.365919
63,224,146,234.38,2025-05-15 03:48:16.365919
64,340,186,87.15,2025-07-19 09:29:16.365919
65,271,184,141.42,2025-05-23 00:31:16.365919
66,136,109,90.09,2025-05-18 02:55:16.365919
67,401,198,168.94,2025-05-16 12:23:16.365919
68,393,115,119.86,2025-06-28 18:33:16.365919
69,308,115,152.31,2025-05-09 19:57:16.365919
70,75,183,136.91,2025-07-14 12:44:16.365919
71,230,173,196.66,2025-05-09 03:24:16.365919
72,25,117,37.59,2025-05-25 00:22:16.365919
73,452,70,83.81,2025-07-25 08:53:16.365919
74,88,109,128.19,2025-06-12 16:39:16.365919
75,363,127,188.05,2025-07-22 03:10:16.365919
76,389,210,162.08,2025-07-20 21:07:16.365919
77,177,118,23.61,2025-08-05 06:06:16.365919
78,291,173,222.48,2025-06-17 05:43:16.365919
79,324,176,179.95,2025-06-02 12:02:16.365919
80,391,22,63.41,2025-05-28 14:14:16.365919
81,89,90,89.88,2025-09-01 13:17:16.365919
82,13,191,8.04,2025-07-08 22:02:16.365919
83,481,165,182.46,2025-08-14 03:49:16.365919
84,77,213,106.47,2025-06-08 04:06:16.365919
85,480,142,44.77,2025-08-27 16:07:16.365919
86,293,195,146.56,2025-07-01 22:06:16.365919
87,492,114,17.17,2025-07-28 07:21:16.365919
88,36,135,29.43,2025-06-05 17:36:16.365919
89,453,195,156.59,2025-09-02 01:37:16.365919
90,61,58,60.97,2025-08-10 00:47:16.365919
91,485,25,184.71,2025-06-20 19:24:16.365919
92,88,214,185.71,2025-09-02 01:11:16.365919
93,116,179,83.54,2025-05-09 00:40:16.365919
94,494,99,87.68,2025-07-18 10:26:16.365919
95,6,131,58.48,2025-07-09 04:53:16.365919
96,357,143,173.13,2025-07-28 05:58:16.365919
97,482,74,99.07,2025-07-29 15:00:16.365919
98,50,74,80.07,2025-05-14 04:16:16.365919
99,146,201,145.62,2025-05-21 08:59:16.365919
100,474,185,131.35,2025-05-16 10:24:16.365919
101,106,189,133.63,2025-08-22 15:44:16.365919
102,117,12,167.33,2025-05-29 04:23:16.365919
103,482,144,58.84,2025-08-21 16:12:16.365919
104,180,197,125.63,2025-06-24 11:34:16.365919
105,155,202,22.49,2025-05-30 15:16:16.365919
106,169,42,91.8,2025-06-03 06:28:16.365919
107,150,208,124.23,2025-08-17 00:41:16.365919
108,42,80,56.22,2025-09-02 00:29:16.365919
109,231,211,118.92,2025-08-07 10:07:16.365919
110,307,16,106.95,2025-07-10 06:28:16.365919
111,456,161,85.17,2025-05-27 08:53:16.365919
112,81,164,69.67,2025-06-20 19:58:16.365919
113,381,174,72.74,2025-07-28 00:44:16.365919
114,78,106,78.77,2025-06-20 06:56:16.365919
115,457,100,80.68,2025-07-18 08:47:16.365919
116,464,48,104.33,2025-07-14 10:03:16.365919
117,102,180,70.33,2025-08-27 15:15:16.365919
118,19,120,137.94,2025-08-17 04:12:16.365919
119,24,120,116.73,2025-08-01 19:59:16.365919
120,161,90,96.78,2025-08-26 19:35:16.365919
121,73,221,40.47,2025-08-26 15:19:16.365919
122,327,66,127.14,2025-06-28 11:31:16.365919
123,157,107,165.41,2025-05-22 04:54:16.365919
124,355,241,40.84,2025-08-06 07:58:16.365919
125,362,70,96.41,2025-05-29 03:18:16.365919
126,284,172,171.72,2025-07-02 11:16:16.365919
127,375,14,14.64,2025-07-12 04:46:16.365919
128,325,111,159.26,2025-05-31 21:06:16.365919
129,211,32,107.28,2025-05-23 16:05:16.365919
130,154,196,86.18,2025-06-17 23:11:16.365919
131,487,131,84.42,2025-07-22 09:01:16.365919
132,273,205,48.93,2025-08-19 02:35:16.365919
133,466,249,5.8,2025-06-04 08:26:16.365919
134,10,104,157.08,2025-07-28 11:42:16.365919
135,26,91,70.56,2025-07-19 15:23:16.365919
136,241,212,178.02,2025-05-28 23:40:16.365919
137,480,24,121.64,2025-06-23 12:50:16.365919
138,28,161,64.64,2025-08-03 10:20:16.365919
139,290,217,139.92,2025-06-01 08:35:16.365919
140,219,206,101.22,2025-08-03 21:15:16.365919
141,147,71,19.36,2025-05-13 04:21:16.365919
142,15,16,82.41,2025-05-10 11:57:16.365919
143,388,54,134.25,2025-06-09 15:52:16.365919
144,198,91,59.88,2025-09-01 21:47:16.365919
145,352,224,93.31,2025-09-02 13:11:16.365919
146,318,124,116.61,2025-06-05 12:06:16.365919
147,311,128,139.38,2025-07-26 23:23:16.365919
148,301,82,163.08,2025-06-02 08:49:16.365919
149,341,118,21.18,2025-08-12 14:14:16.365919
150,3,128,114.08,2025-05-26 08:32:16.365919
151,419,174,75.66,2025-07-28 02:44:16.365919
152,442,57,222.46,2025-08-22 19:09:16.365919
153,292,182,77.03,2025-05-07 13:39:16.365919
154,333,109,89.43,2025-08-27 06:38:16.365919
155,480,130,101.06,2025-07-25 13:35:16.365919
156,27,195,144.98,2025-07-12 19:33:16.365919
157,189,160,102.69,2025-08-01 12:50:16.365919
